cluster,reviews_count,positive_share,avg_rating,top_10_words
0,19,100.0,4.63,"сервис, магазина, порадовал, новый, дефектов, царапин, качественно, удобно, аккуратно, выгодно"
1,58,0.0,3.0,"name, средняя, ожидания, оправдались, обычный, целом, работает, сильных, преимуществ, нормально"
2,168,48.8,3.07,"name, брак, устройство, красивое, царапина, возврат, шум, выгодно, качественно, рекомендую"
3,75,100.0,4.47,"name, довольна, работает, стильно, быстро, качественно, очень, заказом, соответствует, описанию"
